IPO Date,Symbol,Company Name,Current,Return,IPO Price (Float),Todays Price,Current Return (%)
"Aug 1, 2019",DT,Dynatrace,60.56,278.5,16.0,46.51,186.06
"Aug 1, 2019",KRUS,Kura Sushi USA,73.24,423.14,14.0,58.98,318.5
"Aug 1, 2019",SNDL,Sundial Growers,0.63,-95.19,13.0,1.5,-88.62
"Jul 31, 2019",BORR,Borr Drilling,2.01,-78.39,9.3,1.72,-81.4
"Jul 26, 2019",BHAT,Blue Hat Interactive Entertainment Technology,0.42,-89.56,4.0,1.93,-48.5
"Jul 26, 2019",CCX,Churchill Capital Corp II,10.75,7.5,10.0,10.75,7.5
"Jul 26, 2019",VIST,Vista Oil & Gas,5.21,-42.11,9.0,44.96,407.33
"Jul 26, 2019",WSG,Wanda Sports Group Co.,2.5,-68.81,8.0,2.5,-68.81
"Jul 25, 2019",CSTL,Castle Biosciences,42.82,167.63,16.0,20.07,24.06
"Jul 25, 2019",FLLC,Fellazo,10.0,0.0,10.0,10.0,
"Jul 25, 2019",HCAT,Health Catalyst,38.42,47.77,26.0,3.97,-84.37
"Jul 25, 2019",LVGO,Livongo Health,139.77,399.18,28.0,139.77,399.18
"Jul 25, 2019",NOVA,Sunnova Energy International,27.07,125.58,12.0,0.19,-98.12
"Jul 25, 2019",PROS,ProSight Global,12.85,-8.21,14.0,12.85,-8.21
"Jul 24, 2019",EIC,Eagle Point Income Company,17.27,-9.11,19.0,13.98,-26.79
"Jul 19, 2019",AFYA,Afya Limited,14.01,-26.26,19.0,18.71,-1.05
"Jul 19, 2019",IFS,Intercorp Financial Services,24.6,-46.52,46.0,33.64,-27.39
"Jul 19, 2019",MDLA,Medallia,33.99,61.86,21.0,33.99,61.86
"Jul 18, 2019",AMK,AssetMark Financial Holdings,25.24,14.73,22.0,35.24,60.18
"Jul 18, 2019",FULC,Fulcrum Therapeutics,17.77,11.06,16.0,3.84,-77.19
"Jul 18, 2019",IHRT,iHeartMedia,20.37,19.82,17.0,1.02,-93.77
"Jul 18, 2019",MIRM,Mirum Pharmaceuticals,15.69,4.6,15.0,43.26,183.6
"Jul 18, 2019",PHR,Phreesia,44.18,159.88,17.0,24.97,46.24
"Jul 17, 2019",DOYU,DouYu International Holdings,2.63,-77.13,11.5,7.43,-35.22
"Jul 12, 2019",PIC,Pivotal Investment Corporation II,19.54,95.4,10.0,19.54,95.4
"Jul 12, 2019",SCPE,SC Health,15.84,58.4,10.0,15.84,58.4
"Jul 12, 2019",THCA,Tuscan Holdings II,10.2,2.0,10.0,10.45,4.5
"Jul 2, 2019",RMBI,Richmond Mutual Bancorporation,16.12,61.2,10.0,14.23,42.3
"Jun 28, 2019",KRTX,Karuna Therapeutics,122.76,667.25,16.0,329.83,1961.44
"Jun 28, 2019",REAL,The RealReal,11.53,-42.35,20.0,5.89,-71.33
"Jun 27, 2019",ADPT,Adaptive Biotechnologies,29.35,46.75,20.0,7.49,-61.95
"Jun 27, 2019",BBIO,BridgeBio Pharma,42.36,149.18,17.0,37.73,126.12
"Jun 27, 2019",CHNG,Change Healthcare,21.05,61.92,13.0,27.49,111.46
"Jun 27, 2019",MORF,Morphic Holding,48.64,224.27,15.0,56.99,279.93
"Jun 26, 2019",CMBM,Cambium Networks,24.8,106.67,12.0,0.44,-96.2
"Jun 26, 2019",LINX,Linx S.A.,7.5,-20.21,9.4,7.5,-20.21
"Jun 20, 2019",AKRO,Akero Therapeutics,21.42,33.88,16.0,45.19,169.0
"Jun 20, 2019",BCEL,Atreca,3.1,-81.76,17.0,0.09,-99.47
"Jun 20, 2019",GO,Grocery Outlet Holding,28.5,29.55,22.0,16.7,-24.0
"Jun 20, 2019",PRVL,Prevail Therapeutics,23.0,35.29,17.0,23.0,35.29
"Jun 20, 2019",PSNL,Personalis,14.67,-13.71,17.0,3.8,-77.65
"Jun 20, 2019",WORK,Slack Technologies,45.2,73.85,26.0,45.2,73.85
"Jun 19, 2019",STOK,Stoke Therapeutics,20.38,13.22,18.0,9.82,-46.72
"Jun 14, 2019",CHWY,Chewy,55.22,151.0,22.0,37.03,66.82
"Jun 13, 2019",FVRR,Fiverr International,121.29,477.57,21.0,25.54,23.81
"Jun 12, 2019",CRWD,CrowdStrike Holdings,210.31,518.56,34.0,426.56,1148.71
"Jun 12, 2019",MWK,Mohawk Group Holdings,23.7,137.0,10.0,23.7,137.0
"Jun 7, 2019",RVLV,Revolve Group,55.74,209.67,18.0,19.8,10.5
"Jun 6, 2019",GIX,GigCapital2,10.47,4.7,10.0,10.47,4.7
"Jun 6, 2019",GOTU,Gaotu Techedu,1.97,-81.24,10.5,3.09,-70.76
"May 23, 2019",BCYC,Bicycle Therapeutics,57.21,308.64,14.0,8.46,-41.36
"May 23, 2019",IDYA,IDEAYA Biosciences,22.89,128.9,10.0,20.26,103.2
"May 23, 2019",RTLR,Rattler Midstream LP,10.75,-38.57,17.5,15.22,-13.03
"May 17, 2019",AVTR,Avantor,40.95,192.5,14.0,12.88,-9.57
"May 17, 2019",FSLY,Fastly,40.59,153.69,16.0,5.74,-64.5
"May 17, 2019",LKNCY,Luckin Coffee,10.1,-40.59,17.0,18.95,11.47
"May 15, 2019",PSTL,Postal Realty Trust,18.2,7.06,17.0,13.23,-22.29
"May 14, 2019",APLT,Applied Therapeutics,9.99,-0.1,10.0,0.39,-96.12
"May 10, 2019",JFIN,Jiayin Group,2.5,-76.19,10.5,11.32,7.81
"May 10, 2019",SONM,Sonim Technologies,0.98,-91.07,11.0,1.51,-85.91
"May 10, 2019",UBER,Uber Technologies,41.97,-6.73,45.0,80.19,77.27
"May 9, 2019",AXLA,Axcella Health,2.53,-87.35,20.0,0.4,-98.0
"May 9, 2019",HHR,Headhunter Group,52.28,287.26,13.5,,
"May 9, 2019",MEC,Mayville Engineering Company,13.72,-19.29,17.0,12.89,-25.68
"May 9, 2019",NXTC,NextCure,5.77,-61.53,15.0,0.47,-96.75
"May 9, 2019",SPFI,South Plains Financial,26.39,50.8,17.5,34.27,95.34
"May 8, 2019",PSN,Parsons,32.9,21.85,27.0,65.77,145.54
"Mar 25, 2021",LCA,Landcadia Holdings IV,9.74,-2.58,10.0,25.49,154.9
"May 7, 2019",LCA,Landcadia Holdings II,25.49,154.9,10.0,25.49,154.9
"May 7, 2019",TRVI,Trevi Therapeutics,0.69,-93.06,10.0,6.86,-35.6
"May 6, 2019",TBBA,TEB Bancorp,9.3,-7.0,10.0,6.39,-36.1
"May 3, 2019",ATIF,ATIF Holdings,3.0,-40.0,5.0,0.64,-87.2
"May 3, 2019",RRBI,Red River Bancshares,53.32,18.49,45.0,51.28,13.96
"May 3, 2019",SCPL,SciPlay,15.31,-4.31,16.0,22.94,43.38
"May 3, 2019",YJ,Yunji,0.58,-94.73,11.0,1.7,-84.41
"May 2, 2019",BYND,Beyond Meat,70.23,180.92,25.0,2.51,-90.02
"May 2, 2019",SY,So-Young International,3.24,-76.52,13.8,0.83,-94.05
"May 2, 2019",TMDX,TransMedics Group,20.98,31.13,16.0,91.52,462.5
"Apr 30, 2019",WAFU,Wah Fu Education Group,4.1,-18.0,5.0,1.39,-71.8
"Apr 18, 2019",GNLN,Greenlane Holdings,1.02,-94.0,17.0,0.01,-99.93
"Apr 18, 2019",HOOK,HOOKIPA Pharma,2.48,-82.29,14.0,0.96,-93.93
"Apr 18, 2019",MNRL,Brigham Minerals,20.61,14.5,18.0,32.5,80.56
"Apr 18, 2019",PINS,Pinterest,36.74,93.37,19.0,25.2,32.63
"Apr 18, 2019",ZM,Zoom Video Communications,199.42,453.94,36.0,76.83,115.42
"Apr 17, 2019",BWAY,Brainsway,7.51,-31.73,11.0,8.71,-21.36
"Apr 17, 2019",PLMR,Palomar Holdings,61.78,311.87,15.0,146.13,886.07
"Apr 17, 2019",TPTX,Turning Point Therapeutics,48.16,167.56,18.0,76.01,322.28
"Apr 12, 2019",JMIA,Jumia Technologies AG,12.99,-10.41,14.5,2.38,-83.72
"Apr 11, 2019",PD,PagerDuty,36.89,53.71,24.0,15.48,-34.46
"Apr 11, 2019",TUFN,Tufin Software Technologies,9.98,-28.71,14.0,12.94,-7.57
"Apr 5, 2019",GHSI,Guardion Health Sciences,0.83,-79.25,4.0,3.25,-18.75
"Apr 4, 2019",NGM,NGM Biopharmaceuticals,18.66,16.63,16.0,1.54,-90.38
"Apr 4, 2019",SILK,Silk Road Medical,42.65,113.25,20.0,27.49,37.45
"Apr 4, 2019",TW,Tradeweb Markets,94.42,249.7,27.0,136.36,408.82
"Apr 3, 2019",RUHN,Ruhnn Holding,3.4,-72.8,12.5,3.4,-72.8
"Mar 29, 2019",LYFT,"Lyft, Inc.",40.91,-43.18,72.0,12.28,-82.58
"Mar 28, 2019",DTIL,Precision BioSciences,8.11,-49.31,16.0,5.51,-67.53
"Mar 28, 2019",WTRE,Watford Holdings,34.99,38.52,25.26,34.99,38.52
"Mar 27, 2019",GNFT,Genfit,5.3,-75.91,22.0,4.01,-81.59
"Mar 21, 2019",LEVI,Levi Strauss & Co.,24.03,41.35,17.0,15.97,-7.12
"Mar 20, 2019",TIGR,UP Fintech Holding,4.97,-37.88,8.0,8.25,1.63
"Mar 8, 2019",FUTU,Futu Holdings,42.42,253.5,12.0,92.24,669.17
"Mar 7, 2019",SWAV,ShockWave Medical,177.75,945.59,17.0,334.75,1869.12
"Mar 5, 2019",THCB,Tuscan Holdings,10.0,0.0,10.0,10.0,
"Feb 28, 2019",DPHC,DiamondPeak Holdings,18.21,82.1,10.0,18.21,82.1
"Feb 28, 2019",KLDO,Kaleido Biosciences,2.96,-80.27,15.0,0.29,-98.07
"Feb 19, 2019",SOLY,Soliton,22.58,351.6,5.0,22.58,351.6
"Feb 15, 2019",AREC,American Resources,2.01,-49.75,4.0,1.01,-75.62
"Feb 15, 2019",HOTH,Hoth Therapeutics,0.74,-86.79,5.6,0.9,-84.64
"Feb 15, 2019",MITO,Stealth BioTherapeutics,0.86,-92.83,12.0,0.32,-97.33
"Feb 14, 2019",AVDR,Avedro,22.99,64.21,14.0,22.99,64.21
"Feb 14, 2019",TCRR,TCR2 Therapeutics,4.75,-68.33,15.0,1.48,-89.8
"Feb 12, 2019",ANCN,Anchiano Therapeutics,75.36,555.3,11.5,75.36,555.3
"Feb 8, 2019",GOSS,Gossamer Bio,10.82,-32.38,16.0,1.0,-94.49
"Feb 8, 2019",HARP,Harpoon Therapeutics,7.39,-47.21,14.0,23.01,64.36
"Feb 7, 2019",ALEC,Alector,23.28,22.53,19.0,1.16,-94.05
"Feb 4, 2019",INMB,Inmune Bio,10.54,31.75,8.0,8.0,-1.25
"Feb 1, 2019",GMHI,Gores Metropoulos,18.0,80.0,10.0,18.0,80.0
"Jan 31, 2019",NFE,New Fortress Energy,24.27,73.36,14.0,5.39,-61.82
"Jan 17, 2019",RBKB,Rhinebeck Bancorp,10.61,6.1,10.0,11.05,2.3
"Jan 9, 2019",BCOW,1895 Bancorp of Wisconsin,10.93,9.3,10.0,9.4,-6.0
"Jan 8, 2019",MDJH,MDJM Ltd.,1.91,-61.8,5.0,0.16,-96.78
"Jan 8, 2019",MTC,MMTec,0.85,-78.73,4.0,1.18,-71.75
"Jan 4, 2019",SXTC,China SXT Pharmaceuticals,0.58,-85.6,4.0,2.34,-41.5
